year,host_country,competing_country,lag_country_total_athletes,lag_country_total_medals,country_total_appearances,country_golds,lag_country_golds,country_silvers,lag_country_silvers,country_bronzes,lag_country_bronzes,lag_country_ranking,lag_country_female_athletes,lag_country_male_athletes
1920,Belgium,Switzerland,3,3,4,2,1,2,0,7,2,10,0,3
1920,Belgium,United States,172,64,6,41,26,27,19,27,19,1,0,172
1924,France,Argentina,0,0,1,1,0,3,0,2,0,-1,0,0
1924,France,Australia,13,3,5,3,0,1,2,2,1,16,1,12
1924,France,Austria,85,4,6,0,0,3,2,1,2,17,6,79
1924,France,Belgium,336,36,5,3,14,7,11,3,11,5,10,326
1924,France,Canada,52,9,6,0,3,3,3,1,3,12,0,52
1924,France,Czechoslovakia,119,2,2,1,0,4,0,5,2,21,1,118
1924,France,Denmark,151,13,6,2,3,5,9,2,1,10,4,147
1924,France,Estonia,14,3,2,1,1,1,2,4,0,14,0,14
1924,France,Finland,63,34,4,14,15,13,10,10,9,3,1,62
1924,France,France,304,41,7,13,9,15,19,10,13,8,8,296
1924,France,Great Britain,234,42,7,9,14,13,15,12,13,4,16,218
1924,France,Haiti,0,0,1,0,0,0,0,1,0,-1,0,0
1924,France,Hungary,121,8,6,2,3,3,2,4,3,9,0,121
1924,France,Italy,173,23,5,8,13,3,5,5,5,7,1,172
1924,France,Japan,15,2,2,0,0,0,2,1,0,17,0,15
1924,France,Netherlands,130,11,5,4,4,1,2,5,5,9,1,129
1924,France,New Zealand,4,1,2,0,0,0,0,1,1,22,1,3
1924,France,Norway,193,31,6,5,13,2,9,3,9,6,6,187
1924,France,Poland,0,0,1,0,0,1,0,1,0,-1,0,0
1924,France,Portugal,0,0,1,0,0,0,0,1,0,-1,0,0
1924,France,Romania,0,0,1,0,0,0,0,1,0,-1,0,0
1924,France,South Africa,39,10,4,1,3,1,4,1,3,11,1,38
1924,France,Sweden,256,64,5,4,19,13,20,12,25,2,13,243
1924,France,Switzerland,77,11,5,7,2,8,2,10,7,13,0,77
1924,France,United States,285,95,7,45,41,27,27,27,27,1,14,271
1924,France,Uruguay,0,0,1,1,0,0,0,0,0,-1,0,0
1924,France,Yugoslavia,0,0,1,2,0,0,0,0,0,-1,0,0
1928,Netherlands,Argentina,77,6,2,3,1,3,3,1,2,16,0,77
1928,Netherlands,Australia,36,6,6,1,3,2,1,1,2,11,1,35
1928,Netherlands,Austria,49,4,7,2,0,0,3,1,1,20,3,46
1928,Netherlands,Belgium,172,13,6,0,3,1,7,2,3,10,6,166
1928,Netherlands,Canada,65,4,7,4,0,4,3,7,1,20,0,65
1928,Netherlands,Chile,0,0,1,0,0,1,0,0,0,-1,0,0
1928,Netherlands,Czechoslovakia,133,10,3,2,1,5,4,2,5,15,4,129
1928,Netherlands,Denmark,89,9,7,3,2,1,5,2,2,12,12,77
1928,Netherlands,Egypt,0,0,1,2,0,1,0,1,0,-1,0,0
1928,Netherlands,Estonia,37,6,3,2,1,1,1,2,4,17,0,37
1928,Netherlands,Finland,121,37,5,8,14,8,13,9,10,2,0,121
1928,Netherlands,France,401,38,8,6,13,10,15,5,10,3,31,370
1928,Netherlands,Germany,185,25,6,10,5,7,13,14,7,6,5,180
1928,Netherlands,Great Britain,267,34,8,3,9,10,13,7,12,4,28,239
1928,Netherlands,Haiti,8,1,2,0,0,1,0,0,1,23,0,8
1928,Netherlands,Hungary,89,9,7,4,2,5,3,0,4,13,3,86
1928,Netherlands,India,1,2,2,1,0,0,2,0,0,19,0,1
1928,Netherlands,Ireland,0,0,1,1,0,0,0,0,0,-1,0,0
1928,Netherlands,Italy,199,16,6,7,8,5,3,7,5,5,4,195
1928,Netherlands,Japan,19,1,3,2,0,2,0,1,1,23,0,19
1928,Netherlands,Netherlands,177,10,6,6,4,9,1,4,5,9,9,168
1928,Netherlands,New Zealand,4,1,3,1,0,0,0,0,1,23,1,3
1928,Netherlands,Norway,62,10,7,1,5,2,2,1,3,7,2,60
1928,Netherlands,Philippines,0,0,1,0,0,0,0,1,0,-1,0,0
1928,Netherlands,Poland,65,2,2,1,0,1,1,3,1,22,1,64
1928,Netherlands,Portugal,28,1,2,0,0,0,0,1,1,23,0,28
1928,Netherlands,South Africa,30,3,5,1,1,0,1,2,1,18,0,30
1928,Netherlands,Spain,58,2,3,1,0,0,2,0,0,17,0,58
1928,Netherlands,Sweden,157,29,6,7,4,6,13,12,12,8,13,144
1928,Netherlands,Switzerland,141,25,6,7,7,4,8,4,10,6,5,136
1928,Netherlands,United States,297,99,8,22,45,18,27,16,27,1,24,273
1928,Netherlands,Uruguay,26,1,2,1,1,0,0,0,0,19,0,26
1928,Netherlands,Yugoslavia,42,2,2,1,2,1,0,3,0,14,0,42
1932,United States,Argentina,81,7,3,3,3,1,3,0,1,12,0,81
1932,United States,Australia,18,4,7,3,1,1,2,1,1,19,4,14
1932,United States,Austria,73,3,8,1,2,1,0,3,1,18,6,67
1932,United States,Belgium,187,3,7,0,0,0,1,1,2,29,12,175
1932,United States,Canada,69,15,8,2,4,5,4,9,7,10,7,62
1932,United States,Czechoslovakia,69,9,4,1,2,3,5,2,2,14,1,68
1932,United States,Denmark,91,6,8,0,3,5,1,3,2,13,9,82
1932,United States,Finland,69,25,6,5,8,8,8,12,9,3,2,67
1932,United States,France,255,21,9,11,6,5,10,4,5,7,36,219
1932,United States,Germany,293,31,7,5,10,12,7,7,14,2,35,258
1932,United States,Great Britain,231,20,9,5,3,7,10,5,7,11,31,200
1932,United States,Hungary,109,9,8,6,4,5,5,5,0,9,16,93
1932,United States,India,21,1,3,1,1,0,0,0,0,24,0,21
1932,United States,Ireland,38,1,2,2,1,0,0,0,0,24,5,33
1932,United States,Italy,174,19,7,12,7,12,5,12,7,5,18,156
1932,United States,Japan,40,5,4,7,2,7,2,4,1,15,1,39
1932,United States,Latvia,0,0,1,0,0,1,0,0,0,-1,0,0
1932,United States,Mexico,0,0,1,0,0,2,0,0,0,-1,0,0
1932,United States,Netherlands,266,19,7,2,6,5,9,1,4,8,44,222
1932,United States,New Zealand,9,1,4,0,1,1,0,0,0,24,3,6
1932,United States,Philippines,4,1,2,0,0,0,0,3,1,32,0,4
1932,United States,Poland,93,5,3,3,1,2,1,4,3,21,11,82
1932,United States,South Africa,24,3,6,2,1,0,0,3,2,23,6,18
1932,United States,Spain,80,1,4,0,1,0,0,1,0,24,0,80
1932,United States,Sweden,100,25,7,10,7,5,6,9,12,4,13,87
1932,United States,Switzerland,133,15,7,0,7,1,4,0,4,6,1,132
1932,United States,United States,277,56,9,44,22,36,18,30,16,1,44,233
1932,United States,Uruguay,17,1,3,0,1,0,0,1,0,24,0,17
1936,Germany,Argentina,33,4,4,2,3,2,1,3,0,12,0,33
1936,Germany,Australia,13,5,8,0,3,0,1,1,1,11,4,9
1936,Germany,Austria,19,5,9,5,1,7,1,5,3,18,2,17
1936,Germany,Belgium,36,1,8,0,0,0,0,3,1,26,7,29
1936,Germany,Canada,102,16,9,1,2,3,5,5,9,13,17,85
1936,Germany,Czechoslovakia,25,6,5,3,1,5,3,1,2,17,0,25
1936,Germany,Denmark,43,8,9,0,0,2,5,3,3,20,8,35
1936,Germany,Egypt,32,4,2,2,2,1,1,2,1,17,0,32
1936,Germany,Estonia,20,5,4,2,2,2,1,3,2,16,0,20
1936,Germany,Finland,40,25,7,8,5,6,8,6,12,8,0,40
1936,Germany,France,103,20,10,7,11,6,5,6,4,3,6,97
1936,Germany,Germany,145,24,8,38,5,31,12,32,7,7,9,136
1936,Germany,Great Britain,107,17,10,4,5,7,7,3,5,9,17,90
1936,Germany,Hungary,58,16,9,10,6,1,5,5,5,6,2,56
1936,Germany,India,19,1,4,1,1,0,0,0,0,19,0,19
1936,Germany,Italy,112,36,8,9,12,13,12,5,12,2,0,112
1936,Germany,Japan,157,18,5,6,7,4,7,10,4,5,18,139
1936,Germany,Latvia,5,1,2,0,0,1,1,1,0,22,0,5
1936,Germany,Mexico,72,2,2,0,0,0,2,3,0,21,2,70
1936,Germany,Netherlands,46,8,8,6,2,4,5,7,1,14,15,31
1936,Germany,New Zealand,21,1,5,1,0,0,1,0,0,22,1,20
1936,Germany,Norway,52,4,8,1,1,3,2,2,1,19,0,52
1936,Germany,Philippines,8,3,3,0,0,0,0,1,3,25,0,8
1936,Germany,Poland,51,9,4,0,3,4,2,5,4,10,9,42
1936,Germany,Portugal,31,1,3,0,0,0,0,1,1,32,0,31
1936,Germany,Romania,35,1,2,0,0,1,0,0,1,23,0,35
1936,Germany,South Africa,12,5,7,0,2,1,0,0,3,15,2,10
1936,Germany,Sweden,81,24,8,6,10,5,5,10,9,4,3,78
1936,Germany,Switzerland,7,1,8,4,0,9,1,5,0,22,0,7
1936,Germany,Turkey,0,0,1,1,0,0,0,1,0,-1,0,0
1936,Germany,United States,463,110,10,24,44,21,36,12,30,1,74,389
1936,Germany,Yugoslavia,34,5,3,0,1,1,1,0,3,21,0,34
1948,United Kingdom,Argentina,51,7,5,3,2,3,2,1,3,14,1,50
1948,United Kingdom,Australia,32,1,9,2,0,6,0,5,1,30,4,28
1948,United Kingdom,Austria,234,17,10,1,5,0,7,3,5,10,17,217
1948,United Kingdom,Belgium,150,3,9,2,0,2,0,3,3,28,5,145
1948,United Kingdom,Brazil,19,3,2,0,1,0,1,1,1,15,0,19
1948,United Kingdom,Canada,97,9,10,0,1,1,3,2,5,17,18,79
1948,United Kingdom,Ceylon,0,0,1,0,0,1,0,0,0,-1,0,0
1948,United Kingdom,Cuba,3,3,3,0,3,1,0,0,0,4,0,3
1948,United Kingdom,Czechoslovakia,189,9,6,6,3,2,5,3,1,13,14,175
1948,United Kingdom,Denmark,121,5,10,5,0,7,2,8,3,23,16,105
1948,United Kingdom,Egypt,53,5,3,2,2,2,1,1,2,16,0,53
1948,United Kingdom,Finland,108,20,8,8,8,7,6,5,6,5,5,103
1948,United Kingdom,France,201,19,11,10,7,6,6,13,6,6,11,190
1948,United Kingdom,Great Britain,208,14,11,3,4,14,7,6,3,12,37,171
1948,United Kingdom,Hungary,216,16,10,10,10,5,1,12,5,3,19,197
1948,United Kingdom,India,27,1,5,1,1,0,0,0,0,20,0,27
1948,United Kingdom,Iran,0,0,1,0,0,0,0,1,0,-1,0,0
1948,United Kingdom,Italy,244,27,9,8,9,11,13,8,5,4,16,228
1948,United Kingdom,Jamaica,0,0,1,1,0,2,0,0,0,-1,0,0
1948,United Kingdom,Mexico,32,3,3,2,0,1,0,2,3,28,0,32
1948,United Kingdom,Netherlands,165,17,9,5,6,2,4,9,7,9,21,144
1948,United Kingdom,Norway,70,6,9,1,1,3,3,3,2,18,2,68
1948,United Kingdom,Panama,0,0,1,0,0,0,0,2,0,-1,0,0
1948,United Kingdom,Peru,0,0,1,1,0,0,0,0,0,-1,0,0
1948,United Kingdom,Poland,144,9,5,0,0,0,4,1,5,22,17,127
1948,United Kingdom,Portugal,19,1,4,0,0,1,0,1,1,30,0,19
1948,United Kingdom,Puerto Rico,0,0,1,0,0,0,0,1,0,-1,0,0
1948,United Kingdom,South Africa,32,1,8,2,0,1,1,1,0,25,5,27
1948,United Kingdom,South Korea,0,0,1,0,0,0,0,2,0,-1,0,0
1948,United Kingdom,Spain,7,1,5,0,0,1,0,0,1,26,0,7
1948,United Kingdom,Sweden,169,21,9,16,6,11,5,17,10,7,8,161
1948,United Kingdom,Switzerland,190,18,9,5,4,10,9,5,5,11,6,184
1948,United Kingdom,Trinidad and Tobago,0,0,1,0,0,1,0,0,0,-1,0,0
1948,United Kingdom,Turkey,48,2,2,6,1,4,0,2,1,19,2,46
1948,United Kingdom,United States,352,57,11,38,24,27,21,19,12,2,46,306
1948,United Kingdom,Uruguay,2,1,4,0,0,1,0,1,1,26,0,2
1948,United Kingdom,Yugoslavia,93,1,4,0,0,2,1,0,0,25,15,78
1952,Finland,Argentina,199,7,6,1,3,2,3,2,1,13,11,188
1952,Finland,Australia,75,13,10,6,2,2,6,3,5,14,9,66
1952,Finland,Austria,148,4,11,0,1,1,0,1,3,21,32,116
1952,Finland,Belgium,151,7,10,2,2,2,2,0,3,15,20,131
1952,Finland,Brazil,70,1,3,1,0,0,0,2,1,34,11,59
1952,Finland,Bulgaria,0,0,1,0,0,0,0,1,0,-1,0,0
1952,Finland,Canada,127,3,11,1,0,2,1,0,2,25,21,106
1952,Finland,Chile,38,1,2,0,0,2,1,0,0,30,0,38
1952,Finland,Czechoslovakia,87,11,7,7,6,3,2,3,3,8,14,73
1952,Finland,Denmark,160,20,11,2,5,1,7,3,8,10,18,142
1952,Finland,Egypt,85,5,4,0,2,0,2,1,1,16,0,85
1952,Finland,Finland,129,20,9,6,8,3,7,13,5,6,6,123
1952,Finland,France,316,29,12,6,10,6,6,6,13,3,37,279
1952,Finland,Germany,433,101,9,0,38,7,31,17,32,1,44,389
1952,Finland,Great Britain,406,23,12,1,3,2,14,8,6,12,69,337
1952,Finland,Hungary,128,27,11,16,10,10,5,16,12,4,21,107
1952,Finland,India,79,1,6,1,1,0,0,1,0,22,0,79
1952,Finland,Iran,36,1,2,0,0,3,0,4,1,34,0,36
1952,Finland,Ireland,16,2,3,0,2,1,0,0,0,16,2,14
1952,Finland,Italy,215,27,10,8,8,9,11,4,8,5,21,194
1952,Finland,Jamaica,13,3,2,2,1,3,2,0,0,20,4,9
1952,Finland,Japan,220,20,6,1,6,6,4,2,10,8,19,201
1952,Finland,Lebanon,0,0,1,0,0,1,0,1,0,-1,0,0
1952,Finland,Luxembourg,25,1,3,1,0,0,1,0,0,19,0,25
1952,Finland,Mexico,88,5,4,0,2,1,1,0,2,17,7,81
1952,Finland,Netherlands,149,16,10,0,5,5,2,0,9,11,34,115
1952,Finland,New Zealand,7,1,6,1,1,0,0,2,0,20,0,7
1952,Finland,Norway,81,7,10,3,1,2,3,0,3,19,4,77
1952,Finland,Poland,38,1,6,1,0,2,0,1,1,34,7,31
1952,Finland,Portugal,48,2,5,0,0,0,1,1,1,26,0,48
1952,Finland,Romania,54,1,3,1,0,1,1,2,0,25,2,52
1952,Finland,South Africa,35,4,9,2,2,4,1,4,1,18,1,34
1952,Finland,South Korea,46,2,2,0,0,0,0,2,2,32,1,45
1952,Finland,Soviet Union,0,0,1,22,0,30,0,19,0,-1,0,0
1952,Finland,Spain,65,1,6,0,0,1,1,0,0,28,0,65
1952,Finland,Sweden,180,44,10,12,16,13,11,10,17,2,19,161
1952,Finland,Switzerland,186,20,10,2,5,6,10,6,5,9,8,178
1952,Finland,Trinidad and Tobago,5,1,2,0,0,0,1,2,0,28,0,5
1952,Finland,Turkey,58,12,3,2,6,0,4,1,2,7,1,57
1952,Finland,United States,289,84,12,40,38,19,27,17,19,1,38,251
1952,Finland,Uruguay,61,2,5,0,0,0,1,2,1,26,1,60
1952,Finland,Venezuela,0,0,1,0,0,0,0,1,0,-1,0,0
1952,Finland,Yugoslavia,90,2,5,1,0,2,2,0,0,24,11,79
1956,Australia,Argentina,123,5,7,0,1,1,2,1,2,19,8,115
1956,Australia,Australia,81,11,11,13,6,8,2,14,3,9,10,71
1956,Australia,Austria,112,2,12,0,0,0,1,2,1,32,21,91
1956,Australia,Bahamas,0,0,1,0,0,0,0,1,0,-1,0,0
1956,Australia,Belgium,134,4,11,0,2,2,2,0,0,14,5,129
1956,Australia,Brazil,97,3,4,1,1,0,0,0,2,24,5,92
1956,Australia,Bulgaria,63,1,2,1,0,3,0,1,1,40,9,54
1956,Australia,Canada,107,3,12,2,1,1,2,3,0,21,10,97
1956,Australia,Chile,59,2,3,0,0,2,2,2,0,31,4,55
1956,Australia,Czechoslovakia,99,13,8,1,7,4,3,1,3,6,13,86
1956,Australia,Denmark,128,6,12,1,2,2,1,1,3,15,14,114
1956,Australia,Finland,258,22,10,3,6,1,3,11,13,8,30,228
1956,Australia,France,245,18,13,4,6,4,6,6,6,7,31,214
1956,Australia,Great Britain,256,11,13,6,1,7,2,11,8,18,44,212
1956,Australia,Greece,47,1,6,0,0,0,1,1,0,19,0,47
1956,Australia,Hungary,188,42,12,9,16,10,10,7,16,3,27,161
1956,Australia,Iceland,0,0,1,0,0,1,0,0,0,-1,0,0
1956,Australia,India,64,2,7,1,1,0,0,0,1,26,4,60
1956,Australia,Iran,22,7,3,2,0,2,3,1,4,30,0,22
1956,Australia,Ireland,19,1,4,1,0,1,1,3,0,34,0,19
1956,Australia,Italy,231,21,11,8,8,8,9,9,4,5,23,208
1956,Australia,Japan,69,9,7,4,1,10,6,5,2,17,11,58
1956,Australia,Mexico,64,1,5,1,0,0,1,1,0,34,3,61
1956,Australia,New Zealand,14,3,7,2,1,0,0,0,2,24,2,12
1956,Australia,Norway,102,5,11,1,3,0,2,2,0,10,6,96
1956,Australia,Pakistan,0,0,1,0,0,1,0,0,0,-1,0,0
1956,Australia,Poland,125,4,7,1,1,4,2,4,1,20,22,103
1956,Australia,Romania,114,4,4,5,1,3,1,5,2,23,11,103
1956,Australia,South Africa,64,10,10,0,2,0,4,4,4,12,4,60
1956,Australia,South Korea,19,2,3,0,0,1,0,1,2,37,1,18
1956,Australia,Soviet Union,295,71,2,37,22,29,30,32,19,2,40,255
1956,Australia,Sweden,205,35,11,8,12,5,13,6,10,4,23,182
1956,Australia,Switzerland,157,14,11,0,2,0,6,1,6,11,9,148
1956,Australia,Turkey,51,3,4,3,2,2,0,2,1,16,0,51
1956,Australia,United States,279,76,13,32,40,25,19,17,17,1,41,238
1956,Australia,United Team of Germany,0,0,1,6,0,13,0,7,0,-1,0,0
1956,Australia,Uruguay,32,2,6,0,0,0,0,1,2,37,1,31
1956,Australia,Yugoslavia,87,3,6,0,1,3,2,0,0,21,10,77
1960,Italy,Argentina,35,2,8,0,0,1,1,1,1,29,1,34
1960,Italy,Australia,298,35,12,8,13,8,8,6,14,3,44,254
1960,Italy,Austria,34,2,13,1,0,1,0,0,2,34,5,29
1960,Italy,Belgium,57,2,12,0,0,2,2,2,0,28,4,53
1960,Italy,Brazil,47,1,5,0,1,0,0,2,0,24,1,46
1960,Italy,British West Indies,0,0,1,0,0,0,0,2,0,-1,0,0
1960,Italy,Bulgaria,46,5,3,1,1,3,3,3,1,19,3,43
1960,Italy,Canada,96,6,13,0,2,1,1,0,3,15,15,81
1960,Italy,Czechoslovakia,63,6,9,3,1,2,4,3,1,18,12,51
1960,Italy,Denmark,37,4,13,2,1,3,2,1,1,20,6,31
1960,Italy,Egypt,106,1,5,0,0,1,0,1,1,40,0,106
1960,Italy,Ethiopia,0,0,1,1,0,0,0,0,0,-1,0,0
1960,Italy,Finland,71,15,11,1,3,1,1,3,11,13,1,70
1960,Italy,Formosa,0,0,1,0,0,1,0,0,0,-1,0,0
1960,Italy,France,145,14,14,0,4,2,4,3,6,11,18,127
1960,Italy,Ghana,0,0,1,0,0,1,0,0,0,-1,0,0
1960,Italy,Great Britain,197,24,14,2,6,6,7,12,11,8,29,168
1960,Italy,Greece,13,1,7,1,0,0,0,0,1,35,0,13
1960,Italy,Hungary,111,26,13,6,9,8,10,7,7,4,20,91
1960,Italy,India,58,1,8,0,1,1,0,0,0,24,1,57
1960,Italy,Iran,17,5,4,0,2,1,2,3,1,14,0,17
1960,Italy,Iraq,0,0,1,0,0,0,0,1,0,-1,0,0
1960,Italy,Italy,135,25,12,13,8,10,8,13,9,5,15,120
1960,Italy,Japan,112,19,8,4,4,7,10,7,5,10,16,96
1960,Italy,Mexico,24,2,6,0,1,0,0,1,1,23,3,21
1960,Italy,Morocco,0,0,1,0,0,1,0,0,0,-1,0,0
1960,Italy,Netherlands,104,5,11,0,0,1,5,2,0,29,26,78
1960,Italy,New Zealand,51,2,8,2,2,0,0,1,0,16,8,43
1960,Italy,Norway,22,3,12,1,1,0,0,0,2,22,3,19
1960,Italy,Pakistan,53,1,2,1,0,0,1,1,0,31,0,53
1960,Italy,Poland,64,9,8,4,1,6,4,11,4,17,15,49
1960,Italy,Portugal,71,1,6,0,0,1,0,0,1,40,3,68
1960,Italy,Romania,50,13,5,3,5,1,3,6,5,9,11,39
1960,Italy,Singapore,0,0,1,0,0,1,0,0,0,-1,0,0
1960,Italy,South Africa,50,4,11,0,0,1,0,2,4,33,6,44
1960,Italy,Soviet Union,281,98,3,43,37,29,29,31,32,1,39,242
